2026-07-21 22:21:34.080 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 22:21:34.111 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 20604 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 22:21:34.111 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 22:21:34.704 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 22:21:34.705 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 22:21:34.731 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-07-21 22:21:35.389 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 22:21:35.397 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 22:21:35.398 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 22:21:35.399 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 22:21:35.466 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 22:21:35.467 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1320 ms
2026-07-21 22:21:36.570 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 22:21:36.586 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 22:21:36.595 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.863 seconds (process running for 3.451)
