2026-07-21 22:22:02.392 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 22:22:02.421 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 31948 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 22:22:02.422 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 22:22:02.984 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 22:22:02.986 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 22:22:03.016 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-07-21 22:22:03.610 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 22:22:03.616 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 22:22:03.617 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 22:22:03.618 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 22:22:03.675 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 22:22:03.675 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1215 ms
2026-07-21 22:22:04.736 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 22:22:04.756 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 22:22:04.764 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.713 seconds (process running for 3.246)
